candidate,rationale,elapsed_s,project,params_json,native_export_log,name,substrate_h_mm,top_length_mm,top_width_mm,short_wall_width_mm,side_fence_length_mm,side_fence_enabled,feed_from_short_mm,feed_v_mm,feed_pad_radius_mm,port_width_mm,open_lip_height_mm,open_lip_width_mm,ground_radius_mm,total_height_limit_mm,epsr,tan_delta,s_csv,s11_worst_db,s11_worst_freq_ghz,s11_pass,ff_sample_count,all_phi_gain_total_min_dbi,all_phi_gain_total_min_theta_deg,all_phi_gain_total_min_phi_deg,best_270deg_window_start_phi_deg,best_270deg_window_stop_phi_deg,best_270deg_gain_total_min_dbi,best_270deg_gain_total_min_theta_deg,best_270deg_gain_total_min_phi_deg,default_0_270deg_gain_total_min_dbi,default_0_270deg_gain_total_min_theta_deg,default_0_270deg_gain_total_min_phi_deg,gain_pass,candidate_index,match_series_cap_pf,match_series_ind_nh,match_shunt_cap_pf,match_shunt_ind_nh,match_gap_mm,match_island_size_mm,match_series_width_mm,refresh_status,match_shunt_on_load_side,side_fence_start_from_short_mm,open_edge_coupler_length_mm,open_edge_coupler_height_mm,top_slot_start_from_short_mm,top_slot_length_mm,top_slot_width_mm,top_slot_v_offset_mm,edge_slot_start_from_short_mm,edge_slot_length_mm,edge_slot_depth_mm
h5p0_l8p8_w8p0_feed1p25,"5.0 mm thick-board baseline PIFA: top plate, short wall, and two short side fences for a quasi-cavity low-elevation mode.",111.08007526397705,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p0_l8p8_w8p0_feed1p25.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p0_l8p8_w8p0_feed1p25_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed1p25_native_export.log,h5p0_l8p8_w8p0_feed1p25,5.0,8.8,8.0,2.4,4.2,True,1.25,0.0,0.3,0.55,0.0,0.0,21.4,8.0,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed1p25_native_s_parameters.csv,-0.0566452411098396,8.0,False,730,-12.8647070324497,55.0,245.0,270.0,180.0,-8.20574776374584,50.0,180.0,-12.8647070324497,55.0,245.0,False,1,,,,,,,,refreshed,,,,,,,,,,,
h5p0_l9p6_w8p2_feed1p45,Lengthen the top arm and move the feed farther from the short wall to lower the resonant point toward CH9.,107.58781886100769,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p0_l9p6_w8p2_feed1p45.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p0_l9p6_w8p2_feed1p45_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l9p6_w8p2_feed1p45_native_export.log,h5p0_l9p6_w8p2_feed1p45,5.0,9.6,8.2,2.4,4.6,True,1.45,0.0,0.3,0.55,0.0,0.0,21.4,8.0,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l9p6_w8p2_feed1p45_native_s_parameters.csv,-0.0560001466455409,8.0,False,730,-12.5211535374418,50.0,240.0,265.0,175.0,-8.37759279400712,45.0,265.0,-12.5211535374418,50.0,240.0,False,2,0.0,0.0,0.0,0.0,0.12,0.7,0.34,refreshed,,,,,,,,,,,
h5p8_l8p6_w8p0_feed1p20,Spend more PCB thickness to strengthen vertical current while keeping the same compact footprint.,101.40514326095581,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p8_l8p6_w8p0_feed1p20.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p8_l8p6_w8p0_feed1p20_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p8_l8p6_w8p0_feed1p20_native_export.log,h5p8_l8p6_w8p0_feed1p20,5.8,8.6,8.0,2.4,4.0,True,1.2,0.0,0.3,0.55,0.0,0.0,21.4,8.0,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p8_l8p6_w8p0_feed1p20_native_s_parameters.csv,-0.0535254564900262,8.0,False,730,-10.7903527264485,60.0,245.0,275.0,185.0,-6.99951553566103,90.0,120.0,-10.7903527264485,60.0,245.0,False,3,0.0,0.0,0.0,0.0,0.12,0.7,0.34,refreshed,,,,,,,,,,,
h4p5_l10p4_w8p6_feed1p65,"Use a longer, lower-profile PIFA to test whether electrical length rather than height dominates the match.",108.4058129787445,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h4p5_l10p4_w8p6_feed1p65.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h4p5_l10p4_w8p6_feed1p65_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h4p5_l10p4_w8p6_feed1p65_native_export.log,h4p5_l10p4_w8p6_feed1p65,4.5,10.4,8.6,2.4,5.0,True,1.65,0.0,0.3,0.55,0.0,0.0,21.4,8.0,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h4p5_l10p4_w8p6_feed1p65_native_s_parameters.csv,-0.0598362918323104,8.0,False,730,-13.6120758818997,45.0,245.0,265.0,175.0,-9.06576478136624,45.0,265.0,-13.6120758818997,45.0,245.0,False,4,0.0,0.0,0.0,0.0,0.12,0.7,0.34,refreshed,,,,,,,,,,,
h5p0_l8p8_w9p6_feed1p10_wide,Widen the cavity aperture to improve 270-degree azimuth coverage uniformity.,107.67950701713562,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p0_l8p8_w9p6_feed1p10_wide.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p0_l8p8_w9p6_feed1p10_wide_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w9p6_feed1p10_wide_native_export.log,h5p0_l8p8_w9p6_feed1p10_wide,5.0,8.8,9.6,3.0,4.2,True,1.1,0.0,0.3,0.55,0.0,0.0,21.4,8.0,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w9p6_feed1p10_wide_native_s_parameters.csv,-0.0781035886547402,8.0,False,730,-11.6519395687026,65.0,245.0,270.0,180.0,-7.93791596100657,50.0,180.0,-11.6519395687026,65.0,245.0,False,5,0.0,0.0,0.0,0.0,0.12,0.7,0.34,refreshed,,,,,,,,,,,
h5p0_l8p8_w8p0_feed1p25_lip0p8,Add a shallow open-edge vertical lip to couple more field into the low-elevation horizon without using a separate L monopole.,106.58843898773193,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p0_l8p8_w8p0_feed1p25_lip0p8.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p0_l8p8_w8p0_feed1p25_lip0p8_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed1p25_lip0p8_native_export.log,h5p0_l8p8_w8p0_feed1p25_lip0p8,5.0,8.8,8.0,2.4,4.2,True,1.25,0.0,0.3,0.55,0.8,1.2,21.4,8.0,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed1p25_lip0p8_native_s_parameters.csv,-0.0531959709518031,8.0,False,730,-13.3822421923331,50.0,240.0,270.0,180.0,-8.05578523882535,45.0,180.0,-13.3822421923331,50.0,240.0,False,6,0.0,0.0,0.0,0.0,0.12,0.7,0.34,refreshed,,,,,,,,,,,
h5p0_l8p8_w8p0_feed2p20,Move the feed farther from the short wall to raise the PIFA input resistance while preserving the baseline horizon pattern.,106.30648994445801,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p0_l8p8_w8p0_feed2p20.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p0_l8p8_w8p0_feed2p20_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed2p20_native_export.log,h5p0_l8p8_w8p0_feed2p20,5.0,8.8,8.0,2.4,4.2,True,2.2,0.0,0.3,0.55,0.0,0.0,21.4,8.0,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed2p20_native_s_parameters.csv,-0.121765953367756,8.0,False,730,-13.9152432744772,45.0,245.0,270.0,180.0,-9.3277256085835,50.0,180.0,-13.9152432744772,45.0,245.0,False,7,,,,,,,,refreshed,,,,,,,,,,,
h5p0_l8p8_w8p0_feed3p00,Mid-arm feed location intended to bracket a 50 ohm point on the same thick-board PIFA mode.,97.32183885574341,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p0_l8p8_w8p0_feed3p00.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p0_l8p8_w8p0_feed3p00_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed3p00_native_export.log,h5p0_l8p8_w8p0_feed3p00,5.0,8.8,8.0,2.4,4.2,True,3.0,0.0,0.3,0.55,0.0,0.0,21.4,8.0,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed3p00_native_s_parameters.csv,-0.199753502340059,8.0,False,730,-14.4430414848803,45.0,250.0,265.0,175.0,-10.0251535475277,45.0,265.0,-14.4430414848803,45.0,250.0,False,8,,,,,,,,refreshed,,,,,,,,,,,
h5p0_l8p8_w8p0_feed3p80,Feed close to the open half of the top plate to test the high-impedance side of the PIFA feed sweep.,95.6731321811676,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p0_l8p8_w8p0_feed3p80.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p0_l8p8_w8p0_feed3p80_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed3p80_native_export.log,h5p0_l8p8_w8p0_feed3p80,5.0,8.8,8.0,2.4,4.2,True,3.8,0.0,0.3,0.55,0.0,0.0,21.4,8.0,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed3p80_native_s_parameters.csv,-0.328438147431881,8.0,False,730,-14.7188998841914,45.0,250.0,270.0,180.0,-10.4340386717881,45.0,180.0,-14.7188998841914,45.0,250.0,False,9,,,,,,,,refreshed,,,,,,,,,,,
h5p0_l9p6_w8p2_feed3p20,"Combine the longer top arm with a mid-arm feed for a lower-resonance, higher-input-resistance point.",100.81755518913269,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p0_l9p6_w8p2_feed3p20.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\UWB_CH9_D44_THICK_PIFA_SINGLE_ELEMENT_h5p0_l9p6_w8p2_feed3p20_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l9p6_w8p2_feed3p20_native_export.log,h5p0_l9p6_w8p2_feed3p20,5.0,9.6,8.2,2.4,4.6,True,3.2,0.0,0.3,0.55,0.0,0.0,21.4,8.0,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l9p6_w8p2_feed3p20_native_s_parameters.csv,-0.17291583746732,8.0,False,730,-14.2021959688192,45.0,250.0,265.0,175.0,-9.85827400147703,45.0,265.0,-14.2021959688192,45.0,250.0,False,10,,,,,,,,refreshed,,,,,,,,,,,
